experiments/eil101/eil101_n100_uncorr-similar-weights_01.ttp	Run:1
Mutation: JUMP2OPT	Indicator: HV	fixedPopulationSize:true
Injecting
Benefit:2443.9988703542595	Profit:8266	Weight:9044
Tour:[1, 50, 33, 81, 9, 51, 20, 66, 65, 71, 35, 34, 78, 79, 3, 77, 76, 12, 80, 68, 29, 24, 54, 4, 55, 25, 39, 67, 23, 56, 75, 22, 41, 74, 72, 21, 73, 2, 57, 15, 43, 42, 87, 97, 92, 95, 94, 13, 58, 40, 26, 28, 53, 101, 27, 18, 7, 82, 48, 19, 11, 64, 49, 36, 47, 46, 8, 45, 17, 84, 83, 60, 5, 61, 16, 86, 38, 14, 44, 91, 100, 37, 98, 85, 93, 59, 99, 96, 6, 89, 52, 31, 88, 62, 10, 63, 90, 32, 30, 70, 69]
Packing Plan:[9, 13, 58, 61, 62, 68, 69, 89, 92]
Finished in 208s
Mutation: JUMP2OPT	Indicator: LHV	fixedPopulationSize:true
Injecting
Iteration:0	populationSize:50	Max Benefit:2346.2028610490106	Weight:9037	Hypervolume:4255711.994144522
Iteration:200	populationSize:50	Max Benefit:2346.2028610490106	Weight:9037	Hypervolume:4255751.478426535
Iteration:400	populationSize:50	Max Benefit:2346.2028610490106	Weight:9037	Hypervolume:4255792.4708579555
Iteration:600	populationSize:50	Max Benefit:2346.2028610490106	Weight:9037	Hypervolume:4255792.4708579555
Iteration:800	populationSize:50	Max Benefit:2346.2028610490106	Weight:9037	Hypervolume:4255792.4708579555
Iteration:1000	populationSize:50	Max Benefit:2346.2028610490106	Weight:9037	Hypervolume:4255757.313822178
Iteration:1200	populationSize:50	Max Benefit:2346.2028610490106	Weight:9037	Hypervolume:4255957.585314662
Iteration:1400	populationSize:50	Max Benefit:2354.585640920034	Weight:9037	Hypervolume:4257643.817021035
Iteration:1600	populationSize:50	Max Benefit:2354.585640920034	Weight:9037	Hypervolume:4257668.725754868
Iteration:1800	populationSize:50	Max Benefit:2354.585640920034	Weight:9037	Hypervolume:4257668.725754868
Iteration:2000	populationSize:50	Max Benefit:2354.585640920034	Weight:9037	Hypervolume:4257668.725754868
