experiments/eil101/eil101_n100_uncorr_01.ttp	Run:1
Mutation: JUMP2OPT	Indicator: HV	fixedPopulationSize:true
Injecting
Iteration:0	populationSize:50	Max Benefit:2799.572877514769	Weight:4474	Hypervolume:6192709.030380413
Iteration:200	populationSize:50	Max Benefit:3338.342666975268	Weight:3886	Hypervolume:7096188.87350215
Iteration:400	populationSize:50	Max Benefit:3381.48815072087	Weight:3886	Hypervolume:7242924.297978155
Iteration:600	populationSize:50	Max Benefit:3560.732222694772	Weight:4155	Hypervolume:7394463.596602653
Iteration:800	populationSize:50	Max Benefit:3381.48815072087	Weight:3886	Hypervolume:7242924.297978155
Iteration:1000	populationSize:50	Max Benefit:3381.48815072087	Weight:3886	Hypervolume:7242924.297978155
Iteration:1200	populationSize:50	Max Benefit:3381.48815072087	Weight:3886	Hypervolume:7242924.297978155
Iteration:1400	populationSize:50	Max Benefit:3381.48815072087	Weight:3886	Hypervolume:7242924.297978155
Iteration:1600	populationSize:50	Max Benefit:3381.48815072087	Weight:3886	Hypervolume:7242924.297978155
Iteration:1800	populationSize:50	Max Benefit:3381.48815072087	Weight:3886	Hypervolume:7242924.297978155
Iteration:2000	populationSize:50	Max Benefit:3381.48815072087	Weight:3886	Hypervolume:7242924.297978155
Iteration:2200	populationSize:50	Max Benefit:3381.48815072087	Weight:3886	Hypervolume:7242924.297978155
Iteration:2400	populationSize:50	Max Benefit:3381.48815072087	Weight:3886	Hypervolume:7242924.297978155
Iteration:2600	populationSize:50	Max Benefit:3381.48815072087	Weight:3886	Hypervolume:7242924.297978155
Iteration:2800	populationSize:50	Max Benefit:3381.48815072087	Weight:3886	Hypervolume:7242924.297978155
Iteration:3000	populationSize:50	Max Benefit:3381.48815072087	Weight:3886	Hypervolume:7242924.297978155
Iteration:3200	populationSize:50	Max Benefit:3381.48815072087	Weight:3886	Hypervolume:7242924.297978155
Iteration:3400	populationSize:50	Max Benefit:3381.48815072087	Weight:3886	Hypervolume:7242924.297978155
Iteration:3600	populationSize:50	Max Benefit:3381.48815072087	Weight:3886	Hypervolume:7242924.297978155
Iteration:3800	populationSize:50	Max Benefit:3381.48815072087	Weight:3886	Hypervolume:7242924.297978155
Iteration:4000	populationSize:50	Max Benefit:3381.48815072087	Weight:3886	Hypervolume:7242924.297978155
Iteration:4200	populationSize:50	Max Benefit:3381.48815072087	Weight:3886	Hypervolume:7242924.297978155
Iteration:4400	populationSize:50	Max Benefit:3381.48815072087	Weight:3886	Hypervolume:7242924.297978155
Iteration:4600	populationSize:50	Max Benefit:3381.48815072087	Weight:3886	Hypervolume:7242924.297978155
