Iteration	LHV	LSC
10100	9582356.747	9522881.899
10200	9582356.747	9522890.036
10300	9582356.747	9522890.036
10400	9582356.747	9524207.541
10500	9582356.747	9530998.022
10600	9582409.398	9531932.81
10700	9582409.398	9531932.81
10800	9582429.081	9563285.137
10900	9583350.759	9563456.685
11000	9583350.759	9563873.49
11100	9583350.759	9564164.304
11200	9613031.696	9564164.304
11300	9613031.696	9564164.304
11400	9613031.696	9564245.143
11500	9613031.696	9564350.364
11600	9613031.696	9564350.364
11700	9613031.696	9564374.832
11800	9613031.696	9564374.832
11900	9613031.696	9564374.832
12000	9613031.696	9564374.832
12100	9613031.696	9564374.832
12200	9613031.696	9564374.832
12300	9613031.696	9564431.006
12400	9613031.696	9564431.006
12500	9613031.696	9564431.006
12600	9613031.696	9564431.006
12700	9613031.696	9564431.006
12800	9613031.696	9564431.006
12900	9613031.696	9564431.006
13000	9613031.696	9564431.006
13100	9613031.696	9564431.006
13200	9613031.696	9564431.006
13300	9613087.87	9564431.926
13400	9613087.87	9564431.926
13500	9613087.87	9564431.926
13600	9613087.87	9564431.926
13700	9613087.87	9564431.926
13800	9613087.87	9564431.926
13900	9613087.87	9564431.926
14000	9613087.87	9564431.926
14100	9613784.259	9564431.926
14200	9613784.259	9564431.926
14300	9613784.259	9564776.427
14400	9613784.259	9564776.427
14500	9613784.259	9564776.427
14600	9613784.259	9564776.427
14700	9613784.259	9564776.427
14800	9613784.259	9567076.784
14900	9613784.259	9567076.784
15000	9613784.259	9567076.784
15100	9613784.259	9567076.784
15200	9613784.259	9567076.784
15300	9613784.259	9567076.784
15400	9613784.259	9567076.784
15500	9613784.259	9567076.784
15600	9613784.259	9567076.784
15700	9613784.259	9567076.784
15800	9613784.259	9567076.784
15900	9613784.259	9567212.806
16000	9613784.259	9567327.97
16100	9613784.259	9567327.97
16200	9613784.259	9567327.97
16300	9613784.259	9567327.97
16400	9613784.259	9567327.97
16500	9613784.259	9567327.97
16600	9613784.259	9567327.97
16700	9613784.259	9567606.206
16800	9613784.259	9567606.206
16900	9613784.259	9567606.206
17000	9613784.259	9567606.206
17100	9613784.259	9567606.206
17200	9613784.259	9567606.206
17300	9613784.259	9567606.206
17400	9613784.259	9567606.206
17500	9613784.259	9567606.206
17600	9613784.259	9567606.206
17700	9613784.259	9568875.767
17800	9613784.259	9570916.871
17900	9613784.259	9570916.871
18000	9613784.259	9570916.871
18100	9613784.259	9570916.871
18200	9613784.259	9570916.871
18300	9613784.259	9570916.871
18400	9613784.259	9570916.871
18500	9613784.259	9570916.871
18600	9613784.259	9570916.871
18700	9613784.259	9570916.871
18800	9613784.259	9570916.871
18900	9613784.259	9570916.871
19000	9613784.259	9570916.871
19100	9613784.259	9570916.871
19200	9613784.259	9571013.022
19300	9613784.259	9571013.022
19400	9614893.286	9571013.022
19500	9614893.286	9571013.022
19600	9614893.286	9571013.022
19700	9614893.286	9571013.022
19800	9614893.286	9571013.022
19900	9614893.286	9571013.022
20000	9614893.286	9571013.022
