Iteration	LHV	LSC
0	4727.03311	4791.466034
100	4727.03311	4964.909838
200	4791.466034	5007.36505
300	4903.862482	5028.404582
400	4920.169601	5081.74794
500	4920.169601	5081.74794
600	4955.885432	5081.74794
700	5170.809573	5081.74794
800	5218.823895	5081.74794
900	5218.823895	5081.74794
1000	5218.823895	5195.76545
1100	5237.072616	5195.76545
1200	5277.093075	5195.76545
1300	5385.700538	5198.244445
1400	5395.468651	5198.244445
1500	5395.468651	5201.321666
1600	5395.468651	5201.321666
1700	5395.468651	5201.321666
1800	5395.468651	5201.321666
1900	5395.468651	5211.066445
2000	5395.468651	5328.778966
2100	5395.468651	5328.778966
2200	5395.468651	5335.703489
2300	5395.468651	5385.700538
2400	5395.468651	5385.700538
2500	5395.468651	5385.700538
2600	5395.468651	5385.700538
2700	5423.10218	5385.700538
2800	5423.10218	5385.700538
2900	5423.10218	5385.700538
3000	5423.10218	5385.700538
3100	5423.10218	5385.700538
3200	5423.10218	5385.700538
3300	5423.10218	5385.700538
3400	5423.10218	5385.700538
3500	5423.10218	5385.700538
3600	5423.10218	5407.713681
3700	5423.10218	5407.713681
3800	5423.10218	5415.713681
3900	5423.10218	5415.713681
4000	5423.10218	5415.713681
4100	5423.10218	5415.713681
4200	5423.10218	5415.713681
4300	5423.10218	5415.713681
4400	5423.10218	5415.713681
4500	5423.10218	5415.713681
4600	5423.10218	5415.713681
4700	5423.596873	5415.713681
4800	5423.596873	5415.713681
4900	5423.596873	5415.713681
5000	5423.596873	5415.713681
5100	5423.596873	5415.713681
5200	5423.596873	5415.713681
5300	5423.596873	5415.713681
5400	5423.596873	5415.713681
5500	5423.596873	5415.713681
5600	5423.596873	5415.713681
5700	5423.596873	5415.713681
5800	5423.596873	5415.713681
5900	5423.596873	5415.713681
6000	5423.596873	5415.713681
6100	5423.596873	5415.713681
6200	5423.596873	5415.713681
6300	5423.596873	5415.713681
6400	5423.596873	5415.713681
6500	5423.596873	5415.713681
6600	5423.596873	5415.713681
6700	5423.596873	5415.713681
6800	5423.596873	5415.713681
6900	5423.596873	5415.713681
7000	5423.596873	5415.713681
7100	5423.596873	5415.713681
7200	5423.596873	5415.713681
7300	5423.596873	5415.713681
7400	5423.596873	5415.713681
7500	5423.596873	5415.713681
7600	5423.596873	5416.208375
7700	5423.596873	5416.208375
7800	5423.596873	5416.208375
7900	5423.596873	5416.208375
8000	5423.596873	5416.208375
8100	5423.596873	5416.208375
8200	5423.596873	5416.208375
8300	5423.596873	5416.208375
8400	5423.596873	5416.208375
8500	5423.596873	5416.208375
8600	5423.596873	5416.208375
8700	5423.596873	5416.208375
8800	5423.596873	5416.208375
8900	5423.596873	5416.208375
9000	5423.596873	5416.208375
9100	5423.596873	5416.208375
9200	5423.596873	5416.208375
9300	5423.596873	5416.208375
9400	5423.596873	5416.208375
9500	5423.596873	5416.208375
9600	5423.596873	5416.208375
9700	5423.596873	5416.208375
9800	5423.596873	5416.208375
9900	5423.596873	5416.208375
10000	5423.596873	5416.208375
10100	5423.596873	5416.208375
10200	5423.596873	5416.208375
10300	5423.596873	5416.208375
10400	5423.596873	5416.208375
10500	5423.596873	5423.10218
10600	5423.596873	5423.10218
10700	5423.596873	5423.10218
10800	5423.596873	5514.665861
10900	5423.596873	5514.665861
11000	5423.596873	5514.665861
11100	5423.596873	5514.665861
11200	5514.665861	5514.665861
11300	5514.665861	5514.665861
11400	5514.665861	5514.665861
11500	5514.665861	5514.665861
11600	5514.665861	5514.665861
11700	5514.665861	5514.665861
11800	5514.665861	5514.665861
11900	5514.665861	5514.665861
12000	5514.665861	5514.665861
12100	5514.665861	5514.665861
12200	5514.665861	5514.665861
12300	5514.665861	5514.665861
12400	5514.665861	5514.665861
12500	5514.665861	5514.665861
12600	5514.665861	5514.665861
12700	5514.665861	5514.665861
12800	5514.665861	5514.665861
12900	5514.665861	5514.665861
13000	5514.665861	5514.665861
13100	5514.665861	5514.665861
13200	5514.665861	5514.665861
13300	5514.665861	5514.665861
13400	5514.665861	5514.665861
13500	5514.665861	5514.665861
13600	5514.665861	5514.665861
13700	5514.665861	5514.665861
13800	5514.665861	5514.665861
13900	5514.665861	5514.665861
14000	5514.665861	5514.665861
14100	5514.665861	5514.665861
14200	5514.665861	5514.665861
14300	5514.665861	5514.665861
14400	5514.665861	5514.665861
14500	5514.665861	5514.665861
14600	5514.665861	5514.665861
14700	5514.665861	5514.665861
14800	5514.665861	5514.665861
14900	5514.665861	5514.665861
15000	5514.665861	5514.665861
15100	5514.665861	5514.665861
15200	5514.665861	5514.665861
15300	5514.665861	5514.665861
15400	5514.665861	5514.665861
15500	5514.665861	5514.665861
15600	5514.665861	5514.665861
15700	5514.665861	5514.665861
15800	5514.665861	5514.665861
15900	5514.665861	5514.665861
16000	5514.665861	5514.665861
16100	5514.665861	5514.665861
16200	5514.665861	5514.665861
16300	5514.665861	5514.665861
16400	5514.665861	5514.665861
16500	5514.665861	5514.665861
16600	5514.665861	5514.665861
16700	5514.665861	5514.665861
16800	5514.665861	5514.665861
16900	5514.665861	5514.665861
17000	5514.665861	5514.665861
17100	5514.665861	5514.665861
17200	5514.665861	5514.665861
17300	5514.665861	5514.665861
17400	5514.665861	5514.665861
17500	5514.665861	5514.665861
17600	5514.665861	5514.665861
17700	5514.665861	5514.665861
17800	5514.665861	5514.665861
17900	5514.665861	5514.665861
18000	5514.665861	5514.665861
18100	5514.665861	5514.665861
18200	5514.665861	5514.665861
18300	5514.665861	5514.665861
18400	5514.665861	5514.665861
18500	5514.665861	5514.665861
18600	5514.665861	5514.665861
18700	5514.665861	5514.665861
18800	5514.665861	5514.665861
18900	5514.665861	5514.665861
19000	5514.665861	5514.665861
19100	5514.665861	5514.665861
19200	5514.665861	5514.665861
19300	5514.665861	5514.665861
19400	5514.665861	5514.665861
19500	5514.665861	5514.665861
19600	5514.665861	5514.665861
19700	5514.665861	5514.665861
19800	5514.665861	5514.665861
19900	5514.665861	5514.665861
20000	5514.665861	5514.665861
